motion,category_1,category_1_score,category_2,category_2_score,category_3,category_3_score
"Výchova, ve které má dítě velkou míru autonomie, je lepší než výchova, při níž rozhodují rodiče",Family / Parenting,4,War / Conflict,1,Philosophy,1
Výlety jsou lepší než dárky,,0,,0,,0
Výuka druhého cizího jazyka na školách by měla být zrušena.,Education,1,Urban Planning / Housing,1,,0
Zoologické zahrady by měly být zrušeny,Urban Planning / Housing,1,,0,,0
ČR by měla co nejdříve přijmout euro,Economics,1,,0,,0
ČR by měla omezit spotřebu cukru (P),,0,,0,,0
ČR by měla zavést monarchii,,0,,0,,0
Školní uniformy by měly být povinné,Education,1,Urban Planning / Housing,1,,0
Školní známky by měly být zrušeny,Education,1,Urban Planning / Housing,1,,0
Žáci na vyšším gymnáziu by si měli většinu svých školních předmětů volit sami.,Politics,1,Education,1,,0
